StateCode,year,month,None,D0,D1,D2,D4,D5
AK,2000,1,100,0,0,0,0,0
AK,2000,2,100,0,0,0,0,0
AK,2000,3,100,0,0,0,0,0
AK,2000,4,100,0,0,0,0,0
AK,2000,5,100,0,0,0,0,0
AK,2000,6,97.91157407,2.088425926,0,0,0,0
AK,2000,7,70.46814815,29.53185185,0,0,0,0
AK,2000,8,100,0,0,0,0,0
AK,2000,9,100,0,0,0,0,0
AK,2000,10,100,0,0,0,0,0
AK,2000,11,100,0,0,0,0,0
AK,2000,12,100,0,0,0,0,0
AK,2001,1,100,0,0,0,0,0
AK,2001,2,100,0,0,0,0,0
AK,2001,3,100,0,0,0,0,0
AK,2001,4,100,0,0,0,0,0
AK,2001,5,100,0,0,0,0,0
AK,2001,6,100,0,0,0,0,0
AK,2001,7,95.67274074,4.327259259,0,0,0,0
AK,2001,8,100,0,0,0,0,0
AK,2001,9,100,0,0,0,0,0
AK,2001,10,100,0,0,0,0,0
AK,2001,11,100,0,0,0,0,0
AK,2001,12,100,0,0,0,0,0
AK,2002,1,100,0,0,0,0,0
AK,2002,2,100,0,0,0,0,0
AK,2002,3,89.17277778,10.82722222,0,0,0,0
AK,2002,4,85.65088889,14.34911111,0,0,0,0
AK,2002,5,59.21138889,40.78861111,5.913796296,0,0,0
AK,2002,6,48.89527778,51.10472222,0,0,0,0
AK,2002,7,60.96192593,39.03807407,0,0,0,0
AK,2002,8,54.96611111,45.03388889,0,0,0,0
AK,2002,9,96.51907407,3.480925926,0,0,0,0
AK,2002,10,100,0,0,0,0,0
AK,2002,11,100,0,0,0,0,0
AK,2002,12,100,0,0,0,0,0
AK,2003,1,100,0,0,0,0,0
AK,2003,2,98.61990741,1.380092593,0,0,0,0
AK,2003,3,77.95101852,22.04898148,0,0,0,0
AK,2003,4,70.4597037,29.5402963,0,0,0,0
AK,2003,5,76.25157407,23.74842593,0,0,0,0
AK,2003,6,70.16259259,29.83740741,0,0,0,0
AK,2003,7,86.13474074,13.86525926,0,0,0,0
AK,2003,8,98.24888889,1.751111111,0,0,0,0
AK,2003,9,98.16888889,1.831111111,0,0,0,0
AK,2003,10,96.66055556,3.339444444,0,0,0,0
AK,2003,11,85.27351852,14.72648148,0,0,0,0
AK,2003,12,85.68681481,14.31318519,0,0,0,0
AK,2004,1,80.91731481,19.08268519,0,0,0,0
AK,2004,2,81.09574074,18.90425926,0,0,0,0
AK,2004,3,81.37614815,18.62385185,0,0,0,0
AK,2004,4,81.65925926,18.34074074,0,0,0,0
AK,2004,5,76.76435185,23.23564815,0,0,0,0
AK,2004,6,63.84103704,36.15896296,0,0,0,0
AK,2004,7,52.08768519,47.91231481,2.206481481,0,0,0
AK,2004,8,43.90192593,56.09807407,13.33703704,0,0,0
AK,2004,9,60.30833333,39.69166667,2.05462963,0,0,0
AK,2004,10,82.98990741,17.01009259,0,0,0,0
AK,2004,11,75.94488889,24.05511111,0,0,0,0
AK,2004,12,91.70333333,8.296666667,0,0,0,0
AK,2005,1,100,0,0,0,0,0
AK,2005,2,100,0,0,0,0,0
AK,2005,3,100,0,0,0,0,0
AK,2005,4,100,0,0,0,0,0
AK,2005,5,100,0,0,0,0,0
AK,2005,6,99.57018519,0.429814815,0,0,0,0
AK,2005,7,99.57018519,0.429814815,0,0,0,0
AK,2005,8,96.14288889,3.857111111,0,0,0,0
AK,2005,9,93.7762963,6.223703704,0,0,0,0
AK,2005,10,100,0,0,0,0,0
AK,2005,11,91.52992593,8.470074074,0,0,0,0
AK,2005,12,92.82296296,7.177037037,0,0,0,0
AK,2006,1,82.38185185,17.61814815,0,0,0,0
AK,2006,2,78.03907407,21.96092593,0,0,0,0
